tag,seed,h,minutes_ahead,AQL,MAE,RMSE,AQCR,coverage80,AIW
mrinn_rolling,42,84,1260,26.378627395629884,68.8315658569336,389.876220703125,0.0,81.08397786854378,158.8689727783203
mrinn_rolling,42,85,1275,26.428636932373045,68.86117553710938,389.9024353027344,0.0,79.93105645838764,155.18576049804688
mrinn_rolling,42,86,1290,26.39544563293457,68.7907485961914,389.8656921386719,0.0,80.35978100286782,156.973876953125
mrinn_rolling,42,87,1305,26.473267364501954,69.07040405273438,389.94427490234375,0.0,81.12742968048434,159.46746826171875
mrinn_rolling,42,88,1320,26.453414916992188,69.12835693359375,389.9440612792969,0.0,80.99417745719997,159.47015380859375
mrinn_rolling,42,89,1335,26.434100341796874,68.86459350585938,389.9349365234375,0.0,80.5075171634657,157.36952209472656
mrinn_rolling,42,90,1350,26.43511619567871,69.00919342041016,389.97857666015625,0.0,81.09266823093189,160.20590209960938
mrinn_rolling,42,91,1365,26.454330444335938,69.01495361328125,390.0246887207031,0.0,80.7189826482431,158.170654296875
mrinn_rolling,42,92,1380,26.409268188476563,68.87222290039062,389.966064453125,0.0,81.9964659192955,162.98147583007812
mrinn_rolling,42,93,1395,26.47995376586914,69.06473541259766,390.0128173828125,0.0,80.44958141421164,157.95188903808594
mrinn_rolling,42,94,1410,26.404284286499024,68.8651123046875,389.97894287109375,0.0,80.90437704585615,159.21524047851562
mrinn_rolling,42,95,1425,26.460340118408205,68.97684478759766,390.0226745605469,0.0,79.62979056226645,155.24655151367188
mrinn_rolling,42,96,1440,26.48577537536621,69.186767578125,390.08343505859375,0.0,80.73056979809391,159.7496337890625
lstm_static,42,1,15,29.430517578125,73.150634765625,389.88519287109375,0.0,70.3538175046555,160.90771484375
lstm_static,42,2,30,28.500806045532226,70.78356170654297,388.9024963378906,0.0,74.33605500644606,170.2440643310547
lstm_static,42,3,45,28.574343872070312,71.1369400024414,388.96124267578125,0.0,75.07520412548345,170.86444091796875
lstm_static,42,4,60,28.521717834472657,70.11962890625,388.7090759277344,0.0,71.72897865635296,159.72801208496094
lstm_static,42,5,75,29.77134017944336,73.43201446533203,389.4952087402344,0.0,69.9842429451368,167.0087127685547
lstm_static,42,6,90,28.484788131713866,70.75006103515625,388.76220703125,0.0,76.15527861337917,177.88429260253906
lstm_static,42,7,105,28.10110397338867,70.00392150878906,388.6387939453125,0.0,76.86577854175619,174.7461395263672
lstm_static,42,8,120,28.276721954345703,70.12239074707031,388.7043762207031,0.0,76.19825239936972,174.2537078857422
lstm_static,42,9,135,28.91798095703125,72.04784393310547,389.4307861328125,0.0,71.62584156997565,163.37420654296875
lstm_static,42,10,150,28.83788070678711,71.05709838867188,388.899658203125,0.0,74.08394212863486,174.39234924316406
lstm_static,42,11,165,29.868999481201172,73.59183502197266,389.7413330078125,0.0,69.8352671537029,165.4158935546875
lstm_static,42,12,180,29.501018142700197,72.99266052246094,389.4568176269531,0.0,73.31614381893712,173.60067749023438
lstm_static,42,13,195,29.38639259338379,72.4950180053711,389.3323669433594,0.0,74.26443202979516,177.15432739257812
lstm_static,42,14,210,28.934084701538087,71.92813873291016,389.2148132324219,0.0,73.46225469130498,170.64752197265625
lstm_static,42,15,225,28.581142044067384,71.35072326660156,389.1497802734375,0.0,72.39650479873944,162.1944580078125
lstm_static,42,16,240,28.940271377563477,72.2899398803711,389.3161315917969,0.0,71.11302105715514,159.9117889404297
lstm_static,42,17,255,28.837434005737304,71.54424285888672,389.0096130371094,0.0,75.74273026786993,179.53952026367188
lstm_static,42,18,270,28.517214584350587,71.45417022705078,388.9796142578125,0.0,73.65993410686148,166.75538635253906
lstm_static,42,19,285,28.445161056518554,70.8233871459961,388.6921691894531,0.0,74.84028076206847,170.92251586914062
lstm_static,42,20,300,27.7618350982666,68.67774200439453,388.26934814453125,0.0,79.53301819223607,182.4479522705078
lstm_static,42,21,315,29.566348266601562,74.4146957397461,389.944091796875,0.0,72.19023062598482,166.86529541015625
lstm_static,42,22,330,29.47867622375488,73.17544555664062,389.3732604980469,0.0,68.72081363701476,156.30738830566406
lstm_static,42,23,345,29.730943298339845,74.02165222167969,389.7065734863281,0.0,68.28821085804326,157.1129608154297
lstm_static,42,24,360,28.087847900390624,70.51974487304688,388.686279296875,0.0,75.73986534880389,168.89739990234375
lstm_static,42,25,375,28.924096298217773,72.79388427734375,389.4298095703125,0.0,71.72611373728692,162.72686767578125
lstm_static,42,26,390,28.713025665283205,72.06201934814453,389.0663757324219,0.0,71.38805328749463,160.27731323242188
lstm_static,42,27,405,28.659268951416017,71.71993255615234,388.9507751464844,0.0,72.33920641741871,163.70401000976562
lstm_static,42,28,420,29.269916915893553,73.0944595336914,389.5027770996094,0.0,69.69488611946713,159.2593536376953
lstm_static,42,29,435,28.727756881713866,72.1290512084961,389.1915588378906,0.0,73.35052284772955,167.4480438232422
lstm_static,42,30,450,28.45133399963379,70.86953735351562,388.73773193359375,0.0,75.4648331184644,173.90679931640625
lstm_static,42,31,465,28.236503982543944,70.77027893066406,388.7933349609375,0.0,75.00071622976651,168.47451782226562
lstm_static,42,32,480,29.344727325439454,73.24762725830078,389.5167541503906,0.0,70.02435181206131,162.3159942626953
lstm_static,42,33,495,27.751134872436523,69.51994323730469,388.4732971191406,0.0,78.61624409110442,175.59625244140625
lstm_static,42,34,510,28.45151596069336,71.13008117675781,388.89105224609375,0.0,76.2440911044263,175.9915008544922
lstm_static,42,35,525,28.136400604248045,70.42912292480469,388.6372985839844,0.0,76.56209712075633,173.85879516601562
lstm_static,42,36,540,29.270026016235352,72.87098693847656,389.4772033691406,0.0,71.89227904311704,168.23526000976562
lstm_static,42,37,555,29.186734008789063,72.53556060791016,389.34942626953125,0.0,70.16186792723106,163.305419921875
lstm_static,42,38,570,28.276718139648438,70.1647720336914,388.6838073730469,0.0,76.0234923363415,176.51736450195312
lstm_static,42,39,585,28.411777877807616,71.35059356689453,389.0791931152344,0.0,73.73728692164447,164.06085205078125
lstm_static,42,40,600,27.824801635742187,69.43850708007812,388.5000305175781,0.0,78.41569975648189,177.17698669433594
lstm_static,42,41,615,28.824254989624023,71.77203369140625,389.1596374511719,0.0,72.15871651625841,165.89889526367188
lstm_static,42,42,630,29.43646659851074,73.51335906982422,389.91339111328125,0.0,71.28491620111733,166.27947998046875
lstm_static,42,43,645,28.322743225097657,70.7730941772461,388.9302978515625,0.0,75.39893997994557,172.25718688964844
lstm_static,42,44,660,28.870795822143556,72.0780258178711,389.396240234375,0.0,71.18177911474001,162.16261291503906
lstm_static,42,45,675,28.435648345947264,70.7576904296875,388.7628479003906,0.0,76.04068185073771,176.9435577392578
